comment,emotion
大家好,1
太真了，共振了,0
这种最可信,1
2015？？？那个时候我才7岁。,0
@结构方块_official @-胡桃重度依赖-,0
我直接 换2t的 固态,0
符合蛇年画蛇添足的主题（bu,-1
想起了贷款做游戏的某个人,1
原来大家都还记得,1
最后一幕打乒乓球如果直接打到骑自行车的路人就好玩了，骑车正好压到牛丸上面，摔倒，一个标准的周星驰喜剧结局。,1
所以说trollge有机会吗??????,1
"起猛了，mmd上热门了
这个质量真nb啊",1
556四级弹怎么一千一发了？,1
这比矫情的央视纪录片拍得好多了，稚嫩但真挚。,1
别学 已经在路上了[思考]淦,-1
我说实话，看up看得想去天津旅游吃饭了，我们这早餐店就是油条包子豆浆糁这些，很少有这么多种烧饼，,1
在小说和动漫里，我见到了不属于我的波澜壮阔;在游戏里，我让这不属于我的波澜壮阔，真正属于我[墨镜],0
真的心疼阿牛，这也太惨了[笑哭],-1
@噼里啪啦大花花,0
这种精神很让人感动，但我想说，现在的航空器，不要说一个公司，基本都没有纯单一国家的产品，基本都是全球合作，采大家之所长。一个人做飞机，你就是再天才，你材料学，飞控，编程，航发，空气动力学，什么你都精通？都懂一点很多人都可以做到，但都精通是不可能的。做辆汽车都得几千上万人的团队，你一个人做的飞机自己玩玩可以，其它就不用想了。适航证都拿不了的！,1
你还知道你是15年发视频啊，生存料理多久没做了[生气],0
这不是保姆级，这是学术级别的教程,1
[支持][支持],1
@星星阿阿星星星,0
@风洛悬,0
能有指挥？这有点人间地狱的味道了[妙啊]只能说策划终于开窍了，最好分一下装甲部队反坦克部队侦查小队，然后小队设队长形成三级管理制度[微笑],1
为什么解说会比原视频播放量高10万！？,0
20打20，一边只要有一队Pro哥，管你指挥官有多厉害，直接杀穿,1
原洲率[思考],0
[初音未来_期待][初音未来_期待],0
"80后老登缓缓打出一个？
这不基础技术么",-1
今天小测的视频片段重复利用率太高了 有的片段都出现了三次了,-1
手机端指挥官就是个笑话，很多人抢不到指挥官就退了，小孩哥抢不到就在公屏开麦bb，还有抢到指挥官全程不说话装高冷的，还有指挥官说话但下面人和听不到一样，很符合我当时对这个模式的预期[支持],-1
小测瘦了？[doge_金箍],0
"王爷这一集可太权威了
哥们平常吃的流程真一毛一样，一点不带差的，方便面就得吃汤中等刚散开的，油酥烧饼他就得蒜肠玫瑰肠
唯一不一样的是哥们一袋方便面俩鸡蛋半拉饼就吃饱了，王爷还得饶上一堆别的",1
什么时候可以玩,0
加子弹上限,0
我高中有个同学，家里爷爷，奶奶，还有他妈妈，一家人都喝农药去世了，就留了我同学老大，和一个弟弟，妹妹。当时去他家的时候祭拜的时候，我才知道那种绝望的眼神在一个16岁的少年脸上眼睛里，是多么绝望。,-1
@短暂快感之后的空虚 @白川LRC @是周取哦 @巴特等会回家 这是真有用,1
别的up我催更，你和李维刚我是真不敢催[笑哭]，硬币不够了，让我攒攒,1
帮我要一下吃饺子很优雅的那个美女的联系方式 别逼我求你,1
这个条件价钱，还是别复刻了，这烧烤一次肉是最便宜的[笑哭],1
视频再剪长一点吧 毕竟 我们的人生可还没有短到一首歌的时间都没有,-1
有月计吗,0
建议回访  就怕有些坏人占别人房子,-1
太干了。必须给猴哥三连[doge],1
让那些大厂软件别塞广告应用比什么都好使[无语],1
看来天津省的肥胖率作为全国最高不是没原因的[笑哭]，碳水拉满，还高油高糖，这还是早上[笑哭],-1
这或许不是一个优秀的视频，但这是一个非常好的视频,1
十周年快乐,1
同样的配置求原版[泠鸢yousa记忆色彩_感觉良好],1
？怎么是改的啊[无语],0
前,0
作为一个吃货留子，我惊讶的发现除了辛夷，我所有的香料都有,1
解说比搬运原片播放高，无敌了[笑哭]我不知道indie cross圈以后得有多少小鬼,0
我来点直接的吧 他家种地吗 几亩地我承包了 夏季大部分种植都是玉米，种子，化肥，农药。我承包了我家卖农资的，需要私信我，此评论为依据。,-1
真怕有出生看老房子被装修好了给奶俩撵出去,1
大家不要误会 白菜Acup的原因是A前面没有字母了[doge],1
据说当时去救援的战士们，后面很多人都留下了心理创伤，不得不去找心理医生缓解压力,-1
那年我还在部队，师直防化连，指导员接到命令，说上面准备让我们过去，准备好背囊待命。到晚上开饭的时候又说不用准备了，师长让团里的防化营去了，震的太厉害。,1
我直接说，让孩子学做家务，无非就是考虑以后自己不在了，孩子寄人篱下，能做点家务，不至于让人家那么嫌弃。说到这里，她眼泪都忍不住了，非常真实。为什么呢？因为我家里也有亲人曾经寄人篱下，我妈说起来这个事情，每一次都哭。绝对不可能是演的。,0
你们既然做了公益了，就一定要时常关注他们，别到时候你们给他装的这么好的房子，他家亲戚又来把他们撵走因为现在的人很坏就是很眼红，他们老弱病残了，太好欺负了,1
揪不揪细[doge],-1
业余中的顶级，不到专业水准，但是比尔冬升翻拍的功夫强好几个档次[doge],1
我的小舅婆08年的时候就是在汶川地震中去世的，现在都整整十七年了[大哭][大哭][大哭],-1
太nb了[镜音铃·连_期待],1
绵羊你手指怎么了呀[思考],0
我希望弹幕别乱刷同人，也别再刷游乐比了，这跟游乐比没啥关系,-1
空：让深渊的朋友们做出回答??????,-1
@季绯,0
主剪辑来啦[打call][打call],-1
他这么大个厂房，一个月租金水电都不得了，还是要赚钱维持的,1
我爸我妈都是肝癌走的，看不得这个，一看就泪目,1
谁需要知道什么是log呢（狗头,0
有些话没说出来，看右边没有那个小喇叭，所以有些人没听到指挥,-1
这，除了氛围感，感觉都不一定打得过汉巴味德[笑哭][笑哭][笑哭][笑哭],-1
最好是手游，因为家长不让就玩电脑[笑哭],1
卧槽，我竟然没反应过来[大哭][大哭],-1
猜你想搜：兽耳助手,-1
看到牛哥亏欠我难受的想哭[大笑][大笑][大笑],1
我也有一个视频是从蒙德走到须弥,1
跟着up打过进攻，太猛了,1
